story_id,premises,premises-FOL,conclusion,conclusion-FOL,label,example_id
406,"All people who regularly drink coffee are dependent on caffeine.
People regularly drink coffee, or they don't want to be addicted to caffeine, or both.
No one who doesn't want to be addicted to caffeine is unaware that caffeine is a drug.
Rina is either a student who is unaware that caffeine is a drug, or she is not a student and is she aware that caffeine is a drug.
Rina  is either a student who is dependent on caffeine, or she is not a student and not dependent on caffeine.","∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))
∀x (DrinkRegularly(x, coffee)  ∨ (¬WantToBeAddictedTo(x, caffeine)))
∀x (¬WantToBeAddictedTo(x, caffeine) → ¬AwareThatDrug(x, caffeine))
¬(Student(rina) ⊕  ¬AwareThatDrug(rina, caffeine))
¬(IsDependentOn(rina, caffeine) ⊕ Student(rina))",Rina doesn't want to be addicted to caffeine or is unaware that caffeine is a drug.,"¬WantToBeAddictedTo(rina, caffeine) ∨ (¬AwareThatDrug(rina, caffeine))",True,1126
406,"All people who regularly drink coffee are dependent on caffeine.
People regularly drink coffee, or they don't want to be addicted to caffeine, or both.
No one who doesn't want to be addicted to caffeine is unaware that caffeine is a drug.
Rina is either a student who is unaware that caffeine is a drug, or she is not a student and is she aware that caffeine is a drug.
Rina  is either a student who is dependent on caffeine, or she is not a student and not dependent on caffeine.","∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))
∀x (DrinkRegularly(x, coffee)  ∨ (¬WantToBeAddictedTo(x, caffeine)))
∀x (¬WantToBeAddictedTo(x, caffeine) → ¬AwareThatDrug(x, caffeine))
¬(Student(rina) ⊕  ¬AwareThatDrug(rina, caffeine))
¬(IsDependentOn(rina, caffeine) ⊕ Student(rina))",Rina eith doesn't want to be addicted to caffeine or is unaware that caffeine is a drug.,"¬WantToBeAddictedTo(rina, caffeine) ⊕ ¬AwareThatDrug(rina, caffeine)",True,1127
406,"All people who regularly drink coffee are dependent on caffeine.
People regularly drink coffee, or they don't want to be addicted to caffeine, or both.
No one who doesn't want to be addicted to caffeine is unaware that caffeine is a drug.
Rina is either a student who is unaware that caffeine is a drug, or she is not a student and is she aware that caffeine is a drug.
Rina  is either a student who is dependent on caffeine, or she is not a student and not dependent on caffeine.","∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))
∀x (DrinkRegularly(x, coffee)  ∨ (¬WantToBeAddictedTo(x, caffeine)))
∀x (¬WantToBeAddictedTo(x, caffeine) → ¬AwareThatDrug(x, caffeine))
¬(Student(rina) ⊕  ¬AwareThatDrug(rina, caffeine))
¬(IsDependentOn(rina, caffeine) ⊕ Student(rina))",Rina either regularly drinks coffee or is unaware that caffeine is a drug.,"DrinkRegularly(rina, coffee)  ⊕ IsUnawareThatCaffeineIsADrug(rina)",False,1128
406,"All people who regularly drink coffee are dependent on caffeine.
People regularly drink coffee, or they don't want to be addicted to caffeine, or both.
No one who doesn't want to be addicted to caffeine is unaware that caffeine is a drug.
Rina is either a student who is unaware that caffeine is a drug, or she is not a student and is she aware that caffeine is a drug.
Rina  is either a student who is dependent on caffeine, or she is not a student and not dependent on caffeine.","∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))
∀x (DrinkRegularly(x, coffee)  ∨ (¬WantToBeAddictedTo(x, caffeine)))
∀x (¬WantToBeAddictedTo(x, caffeine) → ¬AwareThatDrug(x, caffeine))
¬(Student(rina) ⊕  ¬AwareThatDrug(rina, caffeine))
¬(IsDependentOn(rina, caffeine) ⊕ Student(rina))","If Rina either doesn't want to be addicted to caffeine and is unaware that caffeine is a drug, or neither doesn't want to be addicted to caffeine nor is unaware that caffeine is a drug, then Rina doesn't want to be addicted to caffeine and regularly drinks coffee.","(DoNotWantToBeAddictedToCaffeine(rina) ⊕ ¬AwareThatDrug(rina, caffeine)) → ¬(¬WantToBeAddictedTo(rina, caffeine) ∧ DrinkRegularly(rina, coffee))",True,1129
8,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.","Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)",Miroslav Venhoda loved music.,"Love(miroslav, music)",Uncertain,20
8,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.","Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)",A Czech published a book in 1946.,"∃x ∃y (Czech(x) ∧ PublishedBook(x, y, year1946))",True,21
8,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.","Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)",No choral conductor specialized in the performance of Renaissance.,"∀x (ChoralConductor(x) → ¬SpecializeInPerformanceOf(x, renaissanceMusic))",False,22
463,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.","∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",The sea eel is an eel.,Eel(seaEel),Uncertain,1336
463,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.","∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",The sea eel is bacteria.,Bacteria(seaEel),False,1337
463,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.","∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",The sea eel is multicellular or is bacteria.,Multicellular(seaEel) ∨ Bacteria(seaEel),True,1338
