id,premise,conclusion,premises-FOL,conclusion-FOL,label
0,"All people who regularly drink coffee are dependent on caffeine.
People regularly drink coffee, or they don't want to be addicted to caffeine, or both.
No one who doesn't want to be addicted to caffeine is unaware that caffeine is a drug.
Rina is either a student who is unaware that caffeine is a drug, or she is not a student and is she aware that caffeine is a drug.
Rina  is either a student who is dependent on caffeine, or she is not a student and not dependent on caffeine.",Rina doesn't want to be addicted to caffeine or is unaware that caffeine is a drug.,"∀x (DrinkRegularly(x, coffee) → IsDependentOn(x, caffeine))
∀x (DrinkRegularly(x, coffee)  ∨ (¬WantToBeAddictedTo(x, caffeine)))
∀x (¬WantToBeAddictedTo(x, caffeine) → ¬AwareThatDrug(x, caffeine))
¬(Student(rina) ⊕  ¬AwareThatDrug(rina, caffeine))
¬(IsDependentOn(rina, caffeine) ⊕ Student(rina))","( -WantToBeAddictedTo(rina,caffeine) | -AwareThatDrug(rina,caffeine) )",True
1,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.",Miroslav Venhoda loved music.,"Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)","Love(miroslav,music)",Uncertain
4,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is an eel.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Eel(seaEel),Uncertain
5,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is bacteria.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Bacteria(seaEel),False
6,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is multicellular or is bacteria.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Animal(seaEel) | Multicellular(seaEel) | Bacteria(seaEel),True
7,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.",William Dickinson attended university in the United Kingdom.,"British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))","∃u (Attended(williamDickinson,u) & University(u) & LocatedIn(u,unitedKingdom))",True
8,"William Dickinson was a British politician who sat in the House of Commons
William Dickinson attended Westminster school for high school and then the University of Edinburgh.
The University of Edinburgh is a university located in the United Kingdom.
William Dickinson supported the Portland Whigs.
People who supported the Portland Whigs did not get a seat in the Parliament.",William Dickinson sat in the House of Commons.,"British(williamDickinson) ∧ Politician(williamDickinson) ∧ SatIn(williamDickinson, houseOfCommons)
Attended(williamDickinson, westminsterSchool) ∧ Highschool(westminsterSchool) ∧ Attended(williamDickinson, universityOfEdinburgh)
University(universityOfEdinburgh) ∧ LocatedIn(universityOfEdinburgh, unitedKingdom)
Supported(williamDickinson, portlandWhigs)
∀x (Supported(x, portlandWhigs) → ¬SatIn(x, parliament))","SatIn(williamDickinson, houseOfCommons)",True
9,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas.",Lily goes to cinemas every week.,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","GoToEveryWeek(lily, cinema)",Uncertain
10,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas.",Lily does not go to cinemas every week.,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","-GoToEveryWeek(lily,cinema)",Uncertain
11,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas.","If Lily does not both go to cinemas every week and subscribe to HBO service, then Lily is either available to watch 3 movies every week without any additional fees or she prefers TV more.","∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","((-(GoToEveryWeek(lily,cinema) & SubscribedTo(lily,hBO))) -> (EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(lily) | Prefer(lily,tV)))",True
