id,premise,conclusion,premises-FOL,conclusion-FOL,label
0,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is multicellular or is bacteria.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Multicellular(seaEel) ∨ Bacteria(seaEel),Multicellular(seaEel) | Bacteria(seaEel),True
1,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199.",Tom is a citizen of Washington.,"NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)","ResidentOf(tom, washington)","CitizenOf(Tom, Washington)",Uncertain
2,"Lawton Park is a neighborhood in Seattle. 
All citizens of Lawton Park use the zip code 98199. 
Tom is a citizen of Lawton Park.
Daniel uses the zip code 98199.",Daniel is a citizen of Lawton Park.,"NeighbourhoodIn(lawtonPark, seattle)
∀x (Residentof(x, lawtonPark) → UseZipCode(x, num98199))
ResidentOf(tom, lawtonPark)
UseZipCode(daniel, num98199)","ResidentOf(daniel, lawtonPark)","Citizen(Daniel) & InNeighborhood(Daniel, LawtonPark)",Uncertain
3,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.",Miroslav Venhoda loved music.,"Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)","Love(miroslav, music)",LovesMusic(MiroslavVenhoda),Uncertain
5,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is bacteria.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Bacteria(seaEel),Bacteria(seaEel),False
9,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas.",Lily goes to cinemas every week.,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","GoToEveryWeek(lily, cinema)",GoCinemaEveryWeek(Lily),Uncertain
10,"All customers in James' family who subscribe to AMC A-List are eligible to watch three movies every week without any additional fees. 
Some of the customers in James' family go to the cinema every week.
Customers in James' family subscribe to AMC A-List or HBO service. 
Customers in James' family who prefer TV series will not watch TV series in cinemas.
All customers in James' family who subscribe to HBO services prefer TV series to movies. 
Lily is in James' family; she watches TV series in cinemas.",Lily does not go to cinemas every week.,"∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ SubscribedTo(x, aMCAList)) →  EligibleForThreeFreeMoviesEveryWeekWithoutAdditionalFees(x))
∃x ∃y (Customer(x) ∧ In(x, jameSFamily) ∧ GoToEveryWeek(x, cinema) ∧ (¬(x=y)) ∧ Customer(y) ∧ In(y, jameSFamily) ∧ GoToEveryWeek(y, cinema))
∀x (Customer(x) ∧ In(x, jameSFamily) ∧ (SubscribedTo(x, aMCAList) ∨ SubscribedTo(x, hBO)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧ Prefer(x, tVSeries)) → (¬WatchIn(x, tV, cinema)))
∀x ((Customer(x) ∧ In(x, jameSFamily) ∧  SubscribedTo(x, hBO)) → Prefer(x, tVSeries))
Customer(lily) ∧ In(lily, jameSFamily) ∧ WatchIn(lily, tV, cinema)","¬GoToEveryWeek(lily, cinema)",-GoCinemaEveryWeek(Lily),Uncertain
12,"All eels are fish. 
No fish are plants. 
Everything displayed in the collection is either a plant or an animal.
All multicellular animals are not bacteria.
All animals displayed in the collection are multicellular.
A sea eel is displayed in the collection.
The sea eel is an eel or an animal or not a plant.",The sea eel is an eel.,"∀x (Eel(x) → Fish(x))
∀x (Fish(x) → ¬Plant(x))
∀x (DisplayedIn(x, collection) → Plant(x) ⊕ Animal(x))
∀x (Multicellular(x) → ¬Bacteria(x))
∀x (DisplayedIn(x, collection) ∧ Animal(x) → Multicellular(x))
DisplayedIn(seaEel, collection)
Eel(seaEel) ∨ Animal(seaEel) ∨ ¬Plant(seaEel)",Eel(seaEel),Eel(sea_eel),Uncertain
17,"If a legislator is found guilty of stealing government funds, they will be suspended from office.
Tiffany T. Alston was a legislator in Maryland's House of Delegates from 2011 to 2013.
Tiffany T. Alston was found guilty of stealing government funds in 2012.",Tiffany T. Alston went to prison for stealing government funds.,"∀x ((Legislator(x) ∧ StealsFunds(x)) → Suspended(x))
Legislator(tiffanyTAlston)
StealsFunds(tiffanyTAlston) ∧ StealsFundsInYr(tiffanyTAlston, yr2012)",Prison(tiffanyTAlston),WentToPrisonForStealingGovFunds(TiffanyTAlston),Uncertain
19,"Some fish stings people.
Stonefish is a fish.
Stonefish stings when stepped on. 
If a stonefish stings someone and they are not treated, it can cause death to them.
To treat stonefish stings, apply heat to the affected area or use an antivenom.","If a stonefish stings you and you don’t use an antivenom, it can cause death to you.","∃x ∃y (Fish(x) → Sting(x,y))
Fish(stonefish)
∀x (SteppedOnBy(stonefish, x) → Sting(stonefish, x))
∀x (Sting(stonefish, x) ∧ ¬Treated(x) → CauseDeathTo(stonefish, x))
∀x (Sting(stonefish, x) ∧ (ApplyHeatTo(x) ∨ UseAntivenomOn(x)) → Treated(x))","∀x (Sting(stonefish, x) ∧ ¬UseAntivenomOn(x) → CauseDeathTo(stonefish, x))","all x ((Stonefish(x) & Stings(x, you) & -UseAntivenom(StonefishStingOf(x,you))) -> CanCauseDeathTo(x, you))",Uncertain
